periodo,n_lic,n_oc,n_total,acum_lic,acum_oc
2024-09,147755,324419,472174,147755,324419
2024-10,199155,477995,677150,346910,802414
2024-11,475782,429335,905117,822692,1231749
2024-12,312983,373131,686114,1135675,1604880
2025-02,452154,316147,768301,1587829,1921027
2025-03,485478,0,485478,2073307,1921027
2025-04,494536,405677,900213,2567843,2326704
2025-05,470000,376060,846060,3037843,2702764
2025-06,407938,372131,780069,3445781,3074895
2025-07,372640,382670,755310,3818421,3457565
2025-08,358505,371035,729540,4176926,3828600
2025-09,265167,340311,605478,4442093,4168911
2025-10,190988,387901,578889,4633081,4556812
