dataset,file,rows,columns_n,dup_rows_intra_month
LIC,LIC_2024-09.csv,178091,105,97
LIC,LIC_2024-10.csv,219827,105,137
LIC,LIC_2024-11.csv,530356,105,7102
LIC,LIC_2024-12.csv,359662,105,3383
LIC,LIC_2025-01.csv,2,4,0
LIC,LIC_2025-02.csv,598982,105,45764
LIC,LIC_2025-03.csv,554409,105,3268
LIC,LIC_2025-04.csv,556771,105,1128
LIC,LIC_2025-05.csv,538324,105,1760
LIC,LIC_2025-06.csv,472003,105,1459
LIC,LIC_2025-07.csv,432435,105,709
LIC,LIC_2025-08.csv,418350,105,2981
LIC,LIC_2025-09.csv,312383,105,561
LIC,LIC_2025-10.csv,237352,105,891
