dataset,file,path,bytes,mtime,sep_guess
OC,OC_2024-09.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/02_OC/OC_2024-09.csv,663775181,2025-07-28T11:48:52,;
OC,OC_2024-10.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/02_OC/OC_2024-10.csv,852156074,2025-07-28T11:45:26,;
OC,OC_2024-11.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/02_OC/OC_2024-11.csv,794350563,2025-11-13T17:46:34,;
OC,OC_2024-12.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/02_OC/OC_2024-12.csv,698732467,2025-11-13T17:43:06,;
OC,OC_2025-01.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/02_OC/OC_2025-01.csv,613494186,2025-11-13T15:00:24,;
OC,OC_2025-02.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/02_OC/OC_2025-02.csv,598906505,2025-11-13T15:00:29,;
OC,OC_2025-03.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/02_OC/OC_2025-03.csv,13179,2025-11-13T15:00:29,","
OC,OC_2025-04.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/02_OC/OC_2025-04.csv,793327737,2025-11-13T15:00:36,;
OC,OC_2025-05.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/02_OC/OC_2025-05.csv,744484380,2025-11-13T15:00:42,;
OC,OC_2025-06.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/02_OC/OC_2025-06.csv,737287259,2025-11-13T15:00:49,;
OC,OC_2025-07.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/02_OC/OC_2025-07.csv,760890721,2025-11-13T15:00:56,;
OC,OC_2025-08.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/02_OC/OC_2025-08.csv,739793191,2025-11-13T15:01:02,;
OC,OC_2025-09.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/02_OC/OC_2025-09.csv,684528852,2025-11-13T15:01:09,;
OC,OC_2025-10.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/02_OC/OC_2025-10.csv,785645759,2025-11-13T15:01:16,;
