columna,pct_nulos,pct_no_nulos,n_distinct
fecha_cierre_sk,44.8133,55.1867,206
monto_adjudicado,12.7233,87.2767,7675
sector_estado_norm,0.7067,99.2933,7
monto_estimado,0.68,99.32,4732
monto_estimado_norm,0.68,99.32,4732
moneda_norm,0.02,99.98,3
cantidad_items,0.0,100.0,1
flag_moneda_missing,0.0,100.0,1
flag_sector_unknown,0.0,100.0,1
flag_organismo_valido,0.0,100.0,1
flag_fuente_preferente_missing,0.0,100.0,1
flag_monto_estimado_anom,0.0,100.0,1
flag_moneda_unknown,0.0,100.0,2
flag_sector_missing,0.0,100.0,2
moneda,0.0,100.0,4
moneda_raw,0.0,100.0,4
estado_licitacion,0.0,100.0,5
tipo_adquisicion,0.0,100.0,12
periodo,0.0,100.0,13
source_file,0.0,100.0,13
ingested_at,0.0,100.0,13
cantidad_oferentes,0.0,100.0,71
fecha_publicacion_sk,0.0,100.0,300
organismo_sk,0.0,100.0,705
proveedor_sk,0.0,100.0,3368
