kpi,kpi_type,grain,moneda_norm,valor_sql,source_view,run_ts,valor_sql_str
LIC_Conteo,count,global,,4633081,dw_sem.v_fact_licitaciones_sem_v2,2026-02-12 15:55:42,4633081
OC_Conteo_Total_tabla,count,global,,4556812,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,4556812
OC_Conteo_por_moneda,count,moneda,CLF,11901,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,11901
OC_Conteo_por_moneda,count,moneda,CLP,4531314,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,4531314
OC_Conteo_por_moneda,count,moneda,EUR,35,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,35
OC_Conteo_por_moneda,count,moneda,USD,12744,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,12744
OC_Conteo_por_moneda,count,moneda,UTM,818,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,818
OC_Conteo_etiqueta,count,moneda,CLF,11901,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,11901
OC_Conteo_etiqueta,count,moneda,CLP,4531314,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,4531314
OC_Conteo_etiqueta,count,moneda,EUR,35,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,35
OC_Conteo_etiqueta,count,moneda,USD,12744,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,12744
OC_Conteo_etiqueta,count,moneda,UTM,818,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,818
OC_Monto_Total_tabla,amount,moneda,CLF,57306989,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,57306989
OC_Monto_Total_tabla,amount,moneda,CLP,27651861086541,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,27651861086541
OC_Monto_Total_tabla,amount,moneda,EUR,2906299,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,2906299
OC_Monto_Total_tabla,amount,moneda,USD,956248949,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,956248949
OC_Monto_Total_tabla,amount,moneda,UTM,10576055,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,10576055
OC_Monto_Total_etiqueta,amount,moneda,CLF,57306989,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,57306989
OC_Monto_Total_etiqueta,amount,moneda,CLP,27651861086541,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,27651861086541
OC_Monto_Total_etiqueta,amount,moneda,EUR,2906299,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,2906299
OC_Monto_Total_etiqueta,amount,moneda,USD,956248949,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,956248949
OC_Monto_Total_etiqueta,amount,moneda,UTM,10576055,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,10576055
OC_Monto_Total_fecha_aceptacion_valida,amount,moneda,CLF,33137707,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,33137707
OC_Monto_Total_fecha_aceptacion_valida,amount,moneda,CLP,24497269082853,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,24497269082853
OC_Monto_Total_fecha_aceptacion_valida,amount,moneda,EUR,2882762,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,2882762
OC_Monto_Total_fecha_aceptacion_valida,amount,moneda,USD,745919455,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,745919455
OC_Monto_Total_fecha_aceptacion_valida,amount,moneda,UTM,9754498,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,9754498
