fromTable,fromColumn,toTable,toColumn,isActive,crossFilteringBehavior
dw_sem v_fact_ordenes_compra_sem_v2,organismo_sk,dw dim_organismo,organismo_sk,,
dw_sem v_fact_ordenes_compra_sem_v2,proveedor_sk,dw dim_proveedor,proveedor_sk,,
dw_sem v_fact_ordenes_compra_sem_v2,producto_onu_sk,dw dim_producto_onu,producto_onu_sk,,
dw_sem.v_fact_licitaciones_sem_v2,organismo_sk,dw dim_organismo,organismo_sk,,
dw_sem.v_fact_licitaciones_sem_v2,proveedor_sk,dw dim_proveedor,proveedor_sk,,
dw_sem.v_fact_licitaciones_sem_v2,producto_onu_sk,dw dim_producto_onu,producto_onu_sk,,
dw_sem.v_fact_licitaciones_sem_v2,fecha_publicacion_sk,dw dim_fecha,fecha_sk,,
dw_sem v_fact_ordenes_compra_sem_v2,fecha_aceptacion_sk,dw dim_fecha,fecha_sk,,
dw_sem.v_fact_licitaciones_sem_v2,estado_licitacion,d_estado_proceso,estado_proceso,,
dw_sem.v_fact_licitaciones_sem_v2,organismo_sk,dw_sem v_dim_organismo_sem,organismo_sk,,
dw_sem v_fact_ordenes_compra_sem_v2,organismo_sk,dw_sem v_dim_organismo_sem,organismo_sk,,
D6_trend_por_mes,Periodo_YM,dim_periodo_cruce,Periodo_YM,,
D6_oc_con_sin_lic_por_mes,Periodo_YM,dim_periodo_cruce,Periodo_YM,,
D6_alerta_moneda_oferta,Periodo_YM,dim_periodo_cruce,Periodo_YM,,
D6_control_meses_lic,Periodo_YM,dim_periodo_cruce,Periodo_YM,,
D6_control_meses_oc,Periodo_YM,dim_periodo_cruce,Periodo_YM,,
dw_sem v_fact_ordenes_compra_sem,moneda_norm,RECON_dim_moneda,moneda_norm,,
dw_sem v_fact_ordenes_compra_sem_v2,moneda_norm,RECON_dim_moneda,moneda_norm,,
