periodo,estado_periodo,detalle_estado,C1_LIC,C1_OC,C2,L1,L2,L3,O1,O2,O3
2024-09,OK,,4392264989332.0,1420517520409.36,0.32341343790949195,4392264989332.0,147755.0,6684.0,1420517520409.36,324419.0,0.07309760497248691
2024-10,OK,,11155407866065.0,2458862096787.51,0.22041884315744506,11155407866065.0,199155.0,9041.0,2458862096787.51,477995.0,0.04584432310673072
2024-11,OK,,64117901278730.0,1974167604373.61,0.030789647898667356,64117901278730.0,475782.0,8072.0,1974167604373.61,429335.0,0.032851197434423336
2024-12,OK,,30986884996273.0,2423135970349.91,0.0781987595926908,30986884996273.0,312983.0,5907.0,2423135970349.91,373131.0,0.06656058885648493
2025-01,EXCEPCION,LIC_SCHEMA_ANOM,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2025-02,OK,,31367287959657.0,3629598258851.0,0.1157128491159071,31367287959657.0,452154.0,6205.0,3629598258851.0,316147.0,0.22401528493371703
2025-03,NO-OP,OC_SIZE_ANOM,44894748340414.0,0.0,0.0,44894748340414.0,485478.0,6813.0,0.0,0.0,0.0
2025-04,OK,,92353739103383.0,2487967844286.03,0.02693954644869266,92353739103383.0,494536.0,6805.0,2487967844286.03,405677.0,0.05598017727127344
2025-05,OK,,42306062431174.0,2227616115190.4,0.05265477303198371,42306062431174.0,470000.0,6602.0,2227616115190.4,376060.0,0.05452801293350666
2025-06,OK,,62517889216774.0,2233799117422.85,0.035730558811373075,62517889216774.0,407938.0,6406.0,2233799117422.85,372131.0,0.055262246679759236
2025-07,OK,,24554102723105.0,2402539800592.44,0.09784677647095165,24554102723105.0,372640.0,6620.0,2402539800592.44,382670.0,0.056548411008865894
2025-08,OK,,19287562762879.0,2143002185298.93,0.11110798246750851,19287562762879.0,358505.0,6281.0,2143002185298.93,371035.0,0.029220781213970173
2025-09,OK,,38466263120358.0,1948392983839.73,0.05065199543151247,38466263120358.0,265167.0,5535.0,1948392983839.73,340311.0,0.05738148087696385
2025-10,OK,,2742878180737.0,2303288627430.03,0.8397342046051589,2742878180737.0,190988.0,4554.0,2303288627430.03,387901.0,0.03892057036057817
